id,uuid,title,data
1,6ba7b810-9dad-11d1-80b4-00c04fd430c8,Border Collie,"Border Collies are highly intelligent and energetic dogs originally bred for herding sheep. They are known for their agility, obedience, and strong work ethic."
2,6ba7b811-9dad-11d1-80b4-00c04fd430c8,Labrador Retriever,"Labrador Retrievers are friendly, outgoing, and high-spirited dogs originally bred for retrieving game. They are known for their versatility, intelligence, and gentle temperament."
3,6ba7b812-9dad-11d1-80b4-00c04fd430c8,German Shepherd,"German Shepherds are large, strong dogs originally bred for herding and guarding sheep. They are known for their intelligence, loyalty, and protective instincts."
4,6ba7b813-9dad-11d1-80b4-00c04fd430c8,Golden Retriever,"Golden Retrievers are friendly, intelligent, and devoted dogs originally bred for retrieving game. They are known for their excellent temperament, making them great family pets and therapy dogs."
5,6ba7b814-9dad-11d1-80b4-00c04fd430c8,Beagle,"Beagles are small, energetic hounds originally bred for hunting hare. They are known for their excellent sense of smell, friendly nature, and distinctive vocalizations."
6,6ba7b815-9dad-11d1-80b4-00c04fd430c8,Poodle,"Poodles come in three sizes (Standard, Miniature, and Toy) and are highly intelligent, easily trainable dogs originally bred for hunting and retrieving waterfowl. They are known for their hypoallergenic curly coats and elegant appearance."
7,6ba7b816-9dad-11d1-80b4-00c04fd430c8,Bulldog,"Bulldogs are medium-sized, muscular dogs with distinctive wrinkled faces and pushed-in noses. They were originally bred for bull-baiting but are now known for their gentle, friendly temperament and loyalty."
8,6ba7b817-9dad-11d1-80b4-00c04fd430c8,Boxer,"Boxers are medium to large-sized, muscular dogs originally bred for hunting large game and later used as working dogs. They are known for their loyalty, playfulness, and strong protective instincts."
9,6ba7b818-9dad-11d1-80b4-00c04fd430c8,Dachshund,"Dachshunds, also known as 'sausage dogs,' are small, elongated dogs originally bred for hunting small game. They are known for their distinctive appearance, bold nature, and lively personality."
10,6ba7b819-9dad-11d1-80b4-00c04fd430c8,Siberian Husky,"Siberian Huskies are medium-sized, thick-coated working dogs originally bred for sled-pulling in the harsh Siberian climate. They are known for their endurance, friendly nature, and striking blue or brown eyes."
11,6ba7b81a-9dad-11d1-80b4-00c04fd430c8,Rottweiler,"Rottweilers are large, muscular dogs originally bred for herding and guarding livestock. They are known for their intelligence, loyalty, and protective instincts, making them excellent working and guard dogs."
12,6ba7b81b-9dad-11d1-80b4-00c04fd430c8,Yorkshire Terrier,"Yorkshire Terriers, also known as 'Yorkies,' are small, energetic dogs originally bred for catching rats in mills. They are now known for their affectionate nature, petite size, and long, silky coats."
